DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
RAPOSO TAVARES;937;4.522;4.621;3.540;347;970;0;0;;;1.869;246;0;0;0;0;;;dez-06
REPUBLICA;9;939;0;0;0;0;0;0;;;4;33;0;0;0;0;;;dez-06
RIO PEQUENO;1.247;4.074;4.250;3.146;345;831;0;0;;;2.012;432;0;0;0;0;;;dez-06
SACOMA;1.406;7.259;5.658;4.845;828;2.189;0;0;;;2.830;742;0;0;0;0;;;dez-06
SANTA CECILIA;356;1.093;0;0;0;0;0;0;;;757;170;0;0;0;0;;;dez-06
SANTANA;299;2.066;1.648;1.763;0;335;1.104;665;;;600;125;0;0;0;0;;;dez-06
SANTO AMARO;137;593;1.001;1.516;0;732;103;0;;;420;117;0;0;0;0;;;dez-06
SAO DOMINGOS;465;2.241;3.328;2.887;188;676;0;0;;;766;330;0;0;0;0;;;dez-06
SAO LUCAS;362;3.187;3.771;3.786;161;720;0;0;;;496;170;0;0;0;0;;;dez-06
SAO MATEUS;1.014;6.141;4.495;3.985;698;2.314;0;0;;;1.638;301;0;0;0;0;;;dez-06
SAO MIGUEL;742;3.290;4.685;4.251;76;1.120;199;0;;;1.309;930;0;0;0;0;;;dez-06
SAO RAFAEL;1.296;7.758;5.321;3.874;452;1.792;0;0;;;2.752;809;0;0;0;0;;;dez-06
SAPOPEMBA;2.108;11.381;10.825;9.719;1.161;3.626;393;0;;;3.322;680;0;0;0;0;;;dez-06
SAUDE;190;1.054;254;320;0;217;0;0;;;287;113;0;0;0;0;;;dez-06
SE;54;128;528;392;124;287;0;0;;;172;38;0;0;0;0;;;dez-06
SOCORRO;333;1.588;1.610;1.584;114;428;0;0;;;218;74;0;0;0;0;;;dez-06
TATUAPE;72;1.837;1.238;1.313;61;343;0;0;;;308;115;0;0;0;0;;;dez-06
TREMEMBE;612;5.215;4.199;3.888;359;1.081;0;0;;;1.806;672;0;0;0;0;;;dez-06
TUCURUVI;294;1.204;1.499;1.428;89;465;0;0;;;404;81;0;0;0;0;;;dez-06
VILA ANDRADE;164;389;2.777;1.244;401;355;0;0;;;1.133;466;0;0;0;0;;;dez-06
VILA CURUCA;1.154;6.736;6.961;6.745;190;1.568;0;0;;;2.305;1.895;0;0;0;0;;;dez-06
VILA FORMOSA;257;1.928;490;509;0;134;0;0;;;733;282;0;0;0;0;;;dez-06
VILA GUILHERME;236;1.756;1.326;1.080;75;228;0;0;;;474;125;0;0;0;0;;;dez-06
VILA JACUI;1.145;5.885;4.781;4.661;323;1.578;0;0;;;1.913;1.297;0;0;0;0;;;dez-06
VILA LEOPOLDINA;215;938;831;766;59;148;0;0;;;243;67;0;0;0;0;;;dez-06
VILA MARIA;912;4.918;3.923;2.913;193;673;0;0;;;1.720;360;0;0;0;0;;;dez-06
VILA MARIANA;296;1.385;251;265;19;213;0;0;;;362;80;0;0;0;0;;;dez-06
VILA MATILDE;356;1.501;2.809;2.814;92;287;0;0;;;679;191;0;0;0;0;;;dez-06
VILA MEDEIROS;777;3.676;2.574;2.196;418;1.118;0;0;;;1.435;344;0;0;0;0;;;dez-06
VILA PRUDENTE;832;2.493;1.413;1.279;140;363;0;0;;;676;74;0;0;0;0;;;dez-06
VILA SONIA;525;2.528;2.347;2.011;161;642;0;0;;;1.358;675;0;0;0;0;;;dez-06
AGUA RASA;654;1.868;1.377;1.434;59;194;0;0;;;523;250;0;0;0;0;;;mar-07
ALTO DE PINHEIROS;265;157;0;0;0;0;0;0;;;158;14;0;0;0;0;;;mar-07
ANHANGUERA;242;2.045;2.918;2.755;162;938;0;0;;;397;149;0;0;0;0;;;mar-07
ARICANDUVA;440;1.629;2.097;2.102;163;698;0;0;;;538;190;0;0;0;0;;;mar-07
ARTUR ALVIM;993;4.031;2.897;2.833;126;470;0;0;;;799;140;0;0;0;0;;;mar-07
BARRA FUNDA;233;334;0;0;0;0;0;0;;;219;66;0;0;0;0;;;mar-07
BELA VISTA;546;1.171;515;494;0;456;0;0;;;887;270;0;0;0;0;;;mar-07
BELEM;224;1.533;460;0;0;0;0;0;;;310;287;0;0;0;0;;;mar-07
BOM RETIRO;471;1.509;0;0;0;0;0;0;;;676;613;0;0;0;0;;;mar-07
BRAS;319;733;0;0;0;0;0;0;;;461;323;0;0;0;0;;;mar-07
BRASILANDIA;2.346;9.105;9.501;7.562;897;3.265;0;0;;;2.926;1.241;0;0;0;0;;;mar-07
BUTANTA;346;1.505;1.573;1.429;391;1.043;0;0;;;433;148;0;0;0;0;;;mar-07
CACHOEIRINHA;807;4.642;3.139;3.116;458;1.418;0;0;;;1.187;270;0;0;0;0;;;mar-07
CAMBUCI;126;754;0;0;298;440;0;0;;;237;267;0;0;0;0;;;mar-07
CAMPO BELO;451;764;1.420;1.386;150;845;0;0;;;521;68;0;0;0;0;;;mar-07
CAMPO GRANDE;324;2.212;3.387;3.254;264;946;0;0;;;360;252;0;0;0;0;;;mar-07
CAMPO LIMPO;1.385;8.848;8.796;8.173;948;3.694;0;0;;;3.386;2.450;0;0;0;0;;;mar-07
CANGAIBA;797;4.581;2.582;2.438;211;764;0;0;;;1.260;601;0;0;0;0;;;mar-07
CAPAO REDONDO;1.441;7.265;10.944;8.698;1.630;4.675;0;0;;;2.725;2.783;0;0;0;0;;;mar-07
CARRAO;543;1.822;1.009;1.035;0;0;0;0;;;599;213;0;0;0;0;;;mar-07
CASA VERDE;405;2.059;1.113;1.148;134;559;0;0;;;750;194;0;0;0;0;;;mar-07
CIDADE ADEMAR;1.247;5.834;4.647;3.952;725;1.747;0;0;;;3.312;2.333;0;0;0;0;;;mar-07
CIDADE DUTRA;2.681;7.255;6.668;6.976;290;2.427;0;0;;;2.372;845;0;0;0;0;;;mar-07
CIDADE LIDER;962;4.880;3.033;3.121;503;1.714;0;0;;;1.255;525;0;0;0;0;;;mar-07
CIDADE TIRADENTES;2.056;10.594;12.624;12.692;603;3.195;427;0;;;2.251;1.671;0;0;0;0;;;mar-07
CONSOLACAO;266;950;0;0;0;0;0;0;;;422;137;0;0;0;0;;;mar-07
CURSINO;260;1.634;982;996;0;175;0;0;;;697;425;0;0;0;0;;;mar-07
ERMELINO MATARAZZO;597;3.560;1.677;1.832;241;1.381;0;0;;;873;678;0;0;0;0;;;mar-07
FREGUESIA DO O;770;5.011;3.312;2.701;276;1.285;0;0;;;634;399;0;0;0;0;;;mar-07
GRAJAU;2.477;11.136;8.227;7.135;952;3.252;0;0;;;4.439;2.796;0;0;0;0;;;mar-07
GUAIANASES;1.016;4.427;1.792;2.453;561;1.800;0;0;;;849;682;0;0;0;0;;;mar-07
IGUATEMI;1.161;5.173;6.850;6.176;504;1.556;0;0;;;1.365;1.334;0;0;0;0;;;mar-07
IPIRANGA;728;2.818;997;882;208;422;0;0;;;1.059;308;0;0;0;0;;;mar-07
ITAIM BIBI;134;838;820;740;66;359;0;0;;;203;109;0;0;0;0;;;mar-07
ITAIM PAULISTA;1.071;6.836;5.749;6.304;467;2.317;0;0;;;2.275;2.321;0;0;0;0;;;mar-07
ITAQUERA;884;6.118;3.171;3.650;273;1.667;0;0;;;1.529;562;0;0;0;0;;;mar-07
JABAQUARA;1.210;5.359;3.247;2.899;359;1.033;0;0;;;2.168;1.429;0;0;0;0;;;mar-07
JACANA;601;3.467;2.539;2.273;76;663;0;0;;;1.002;386;0;0;0;0;;;mar-07
JAGUARA;334;1.262;812;887;166;452;0;0;;;492;90;0;0;0;0;;;mar-07
JAGUARE;333;920;409;382;189;266;0;0;;;425;165;0;0;0;0;;;mar-07
JARAGUA;2.120;7.084;9.909;8.930;791;3.027;323;0;;;1.990;1.522;0;0;0;0;;;mar-07
JARDIM ANGELA;1.983;7.899;8.370;6.571;646;2.361;0;0;;;3.447;4.293;0;0;0;0;;;mar-07
JARDIM HELENA;794;4.536;5.497;6.060;196;1.538;0;0;;;1.424;574;0;0;0;0;;;mar-07
JARDIM PAULISTA;35;654;0;0;0;0;0;0;;;7;19;0;0;0;0;;;mar-07
JARDIM SAO LUIS;2.058;9.395;8.128;6.610;671;2.524;0;0;;;3.922;2.106;0;0;0;0;;;mar-07
JOSE BONIFACIO;524;4.364;2.948;2.739;43;521;0;0;;;974;374;0;0;0;0;;;mar-07
LAJEADO;1.294;5.722;3.748;4.252;430;1.726;0;0;;;1.362;1.891;0;0;0;0;;;mar-07
LAPA;208;2.229;0;0;0;0;0;0;;;213;158;0;0;0;0;;;mar-07
LIBERDADE;338;681;436;429;104;204;0;0;;;556;118;0;0;0;0;;;mar-07
LIMAO;365;1.392;700;727;36;434;0;0;;;342;79;0;0;0;0;;;mar-07
MANDAQUI;586;3.297;2.401;2.392;170;454;0;0;;;871;98;0;0;0;0;;;mar-07
MARSILAC;67;75;0;0;0;0;0;0;;;6;1;0;0;0;0;;;mar-07
MOEMA;184;1.246;369;219;0;0;0;0;;;148;91;0;0;0;0;;;mar-07
MOOCA;347;1.405;404;414;133;189;0;0;;;258;149;0;0;0;0;;;mar-07
MORUMBI;255;766;816;581;58;156;0;0;;;349;160;0;0;0;0;;;mar-07
PARELHEIROS;869;4.232;3.451;1.541;165;892;0;0;;;1.152;942;0;0;0;0;;;mar-07
PARI;202;474;369;371;0;0;0;0;;;117;75;0;0;0;0;;;mar-07
PARQUE DO CARMO;520;2.418;1.218;1.282;46;486;0;0;;;800;378;0;0;0;0;;;mar-07
PEDREIRA;575;3.706;5.314;4.876;403;1.800;0;0;;;1.431;1.172;0;0;0;0;;;mar-07
PENHA;551;1.586;0;0;0;0;0;0;;;750;272;0;0;0;0;;;mar-07
PERDIZES;267;885;369;275;76;159;0;0;;;299;77;0;0;0;0;;;mar-07
PERUS;501;3.421;4.392;4.098;249;1.190;0;0;;;1.023;959;0;0;0;0;;;mar-07
PINHEIROS;287;711;366;398;0;0;0;0;;;309;77;0;0;0;0;;;mar-07
PIRITUBA;973;4.160;4.465;4.553;550;1.479;329;0;;;1.153;932;0;0;0;0;;;mar-07
PONTE RASA;521;2.322;2.803;3.040;36;841;0;0;;;590;337;0;0;0;0;;;mar-07
RAPOSO TAVARES;1.257;4.306;4.409;3.716;391;1.128;0;0;;;1.145;318;0;0;0;0;;;mar-07
REPUBLICA;8;840;0;0;0;0;0;0;;;1;54;0;0;0;0;;;mar-07
RIO PEQUENO;1.457;3.598;4.158;3.378;390;1.139;0;0;;;1.288;397;0;0;0;0;;;mar-07
SACOMA;1.631;6.809;5.784;5.131;840;2.366;0;0;;;2.792;960;0;0;0;0;;;mar-07
SANTA CECILIA;428;1.050;0;0;0;0;0;0;;;685;330;0;0;0;0;;;mar-07
SANTANA;358;2.051;1.617;1.797;0;385;1.168;799;;;466;141;0;0;0;0;;;mar-07
SANTO AMARO;150;509;1.165;1.615;22;784;100;0;;;342;166;0;0;0;0;;;mar-07
SAO DOMINGOS;476;2.131;3.135;2.958;204;638;0;0;;;552;245;0;0;0;0;;;mar-07
SAO LUCAS;431;2.969;3.684;3.723;174;959;0;0;;;475;322;0;0;0;0;;;mar-07
SAO MATEUS;1.288;5.289;4.382;4.205;546;1.704;0;0;;;1.397;390;0;0;0;0;;;mar-07
SAO MIGUEL;614;2.711;4.418;4.384;91;1.298;232;0;;;848;609;0;0;0;0;;;mar-07
SAO RAFAEL;1.867;7.046;5.389;4.156;594;1.775;0;0;;;1.803;850;0;0;0;0;;;mar-07
SAPOPEMBA;2.641;10.378;10.437;9.990;1.260;3.589;373;0;;;2.481;944;0;0;0;0;;;mar-07
SAUDE;198;929;273;359;0;289;0;0;;;259;131;0;0;0;0;;;mar-07
SE;52;128;563;437;139;275;0;0;;;135;91;0;0;0;0;;;mar-07
SOCORRO;336;1.482;1.531;1.578;141;612;0;0;;;176;40;0;0;0;0;;;mar-07
TATUAPE;81;1.944;1.330;1.358;147;635;0;0;;;196;83;0;0;0;0;;;mar-07
TREMEMBE;935;5.466;4.252;3.951;412;1.358;0;0;;;1.393;703;0;0;0;0;;;mar-07
TUCURUVI;315;1.147;1.492;1.500;47;391;0;0;;;330;92;0;0;0;0;;;mar-07
VILA ANDRADE;178;347;2.836;1.541;386;526;0;0;;;886;869;0;0;0;0;;;mar-07
VILA CURUCA;947;5.849;6.810;6.808;196;1.678;0;0;;;1.608;1.337;0;0;0;0;;;mar-07
VILA FORMOSA;245;1.842;491;554;0;208;0;0;;;422;279;0;0;0;0;;;mar-07
VILA GUILHERME;292;1.611;1.242;1.061;42;305;0;0;;;237;73;0;0;0;0;;;mar-07
VILA JACUI;904;5.541;4.655;4.805;196;1.583;0;0;;;1.052;749;0;0;0;0;;;mar-07
VILA LEOPOLDINA;209;794;824;716;49;168;0;0;;;176;45;0;0;0;0;;;mar-07
VILA MARIA;1.043;5.120;3.921;3.267;217;745;0;0;;;1.144;260;0;0;0;0;;;mar-07
VILA MARIANA;317;1.363;241;291;0;187;0;0;;;385;116;0;0;0;0;;;mar-07
VILA MATILDE;395;1.509;2.543;2.845;88;442;0;0;;;422;105;0;0;0;0;;;mar-07
VILA MEDEIROS;796;3.867;2.498;2.154;517;1.471;0;0;;;1.010;206;0;0;0;0;;;mar-07
VILA PRUDENTE;862;2.247;1.261;1.272;231;493;0;0;;;721;202;0;0;0;0;;;mar-07
VILA SONIA;635;2.341;2.231;2.122;241;674;0;0;;;955;681;0;0;0;0;;;mar-07
AGUA RASA;662;1.839;1.332;1.419;52;109;0;0;;;467;229;0;0;0;0;;;jun-07
ALTO DE PINHEIROS;289;157;0;0;0;0;0;0;;;146;13;0;0;0;0;;;jun-07
ANHANGUERA;252;2.077;2.960;2.753;214;927;0;0;;;383;128;0;0;0;0;;;jun-07
ARICANDUVA;543;1.685;2.074;2.075;150;635;0;0;;;523;167;0;0;0;0;;;jun-07
ARTUR ALVIM;1.181;4.162;2.883;2.819;119;383;0;0;;;649;118;0;0;0;0;;;jun-07
BARRA FUNDA;230;337;0;0;0;0;0;0;;;197;60;0;0;0;0;;;jun-07
BELA VISTA;562;1.238;526;500;0;0;0;0;;;827;220;0;0;0;0;;;jun-07
BELEM;440;1.708;474;0;0;389;0;0;;;260;256;0;0;0;0;;;jun-07
BOM RETIRO;488;1.502;0;0;0;0;0;0;;;602;581;0;0;0;0;;;jun-07
BRAS;318;734;0;0;0;0;0;0;;;433;299;0;0;0;0;;;jun-07
BRASILANDIA;2.740;9.278;9.699;7.587;862;3.069;0;0;;;2.708;1.094;0;0;0;0;;;jun-07
BUTANTA;354;1.516;1.569;1.419;403;1.033;0;0;;;409;136;0;0;0;0;;;jun-07
CACHOEIRINHA;906;4.595;3.066;3.036;441;1.202;0;0;;;1.176;223;0;0;0;0;;;jun-07
CAMBUCI;135;769;0;0;255;417;0;0;;;231;238;0;0;0;0;;;jun-07
CAMPO BELO;504;801;1.439;1.335;129;741;0;0;;;450;52;0;0;0;0;;;jun-07
CAMPO GRANDE;404;2.228;3.380;3.247;376;1.037;0;0;;;294;230;0;0;0;0;;;jun-07
CAMPO LIMPO;1.538;9.339;8.778;8.146;948;3.640;0;0;;;3.222;2.038;0;0;0;0;;;jun-07
CANGAIBA;793;4.553;2.559;2.399;209;713;0;0;;;1.204;525;0;0;0;0;;;jun-07
CAPAO REDONDO;1.531;7.541;10.887;8.630;1.671;4.670;0;0;;;2.628;2.504;0;0;0;0;;;jun-07
CARRAO;636;1.889;983;1.008;0;0;0;0;;;488;168;0;0;0;0;;;jun-07
CASA VERDE;400;2.029;1.109;1.147;133;530;0;0;;;734;173;0;0;0;0;;;jun-07
CIDADE ADEMAR;1.285;6.049;4.682;3.957;725;1.669;0;0;;;3.225;2.092;0;0;0;0;;;jun-07
CIDADE DUTRA;2.897;7.373;6.683;7.086;265;2.339;0;0;;;2.198;714;0;0;0;0;;;jun-07
CIDADE LIDER;1.025;5.052;2.983;3.030;502;1.592;0;0;;;1.139;433;0;0;0;0;;;jun-07
CIDADE TIRADENTES;2.357;11.151;12.678;12.586;567;3.114;568;0;;;2.022;1.294;0;0;0;0;;;jun-07
CONSOLACAO;284;987;0;0;0;0;0;0;;;374;120;0;0;0;0;;;jun-07
CURSINO;264;1.633;952;966;0;0;0;0;;;681;370;0;0;0;0;;;jun-07
ERMELINO MATARAZZO;675;3.615;1.666;1.834;248;1.315;0;0;;;754;611;0;0;0;0;;;jun-07
FREGUESIA DO O;777;5.127;3.272;2.659;245;1.105;0;0;;;592;311;0;0;0;0;;;jun-07
GRAJAU;3.071;11.765;8.305;7.088;941;3.212;0;0;;;4.105;2.382;0;0;0;0;;;jun-07
GUAIANASES;1.050;4.522;1.827;2.434;548;1.716;0;0;;;773;595;0;0;0;0;;;jun-07
IGUATEMI;1.278;5.373;7.022;6.249;459;1.391;0;0;;;1.294;1.267;0;0;0;0;;;jun-07
IPIRANGA;751;2.872;1.003;894;165;382;0;0;;;977;272;0;0;0;0;;;jun-07
ITAIM BIBI;144;838;788;729;67;355;0;0;;;187;94;0;0;0;0;;;jun-07
ITAIM PAULISTA;1.555;7.854;5.781;6.249;458;2.151;0;0;;;1.917;1.852;0;0;0;0;;;jun-07
ITAQUERA;1.314;6.700;3.180;3.597;241;1.588;0;0;;;1.321;573;0;0;0;0;;;jun-07
JABAQUARA;1.347;5.542;3.254;2.831;356;923;0;0;;;2.025;1.224;0;0;0;0;;;jun-07
JACANA;602;3.515;2.489;2.151;74;571;0;0;;;960;318;0;0;0;0;;;jun-07
JAGUARA;348;1.275;825;884;161;442;0;0;;;463;83;0;0;0;0;;;jun-07
JAGUARE;429;1.055;406;390;184;261;0;0;;;385;109;0;0;0;0;;;jun-07
JARAGUA;2.255;7.444;10.185;9.058;855;3.081;337;0;;;1.841;1.339;0;0;0;0;;;jun-07
JARDIM ANGELA;2.060;8.197;8.435;6.561;664;2.422;0;0;;;3.324;4.023;0;0;0;0;;;jun-07
JARDIM HELENA;1.073;4.871;5.503;6.071;181;1.361;0;0;;;1.158;368;0;0;0;0;;;jun-07
JARDIM PAULISTA;38;687;0;0;0;0;0;0;;;6;16;0;0;0;0;;;jun-07
JARDIM SAO LUIS;2.129;9.734;8.175;6.618;645;2.491;0;0;;;3.823;1.841;0;0;0;0;;;jun-07
JOSE BONIFACIO;657;4.517;2.980;2.743;43;485;0;0;;;853;304;0;0;0;0;;;jun-07
LAJEADO;1.473;6.005;3.751;4.219;425;1.688;0;0;;;1.228;1.676;0;0;0;0;;;jun-07
LAPA;240;2.266;0;0;0;0;0;0;;;187;138;0;0;0;0;;;jun-07
LIBERDADE;331;643;355;306;63;108;0;0;;;538;105;0;0;0;0;;;jun-07
LIMAO;373;1.326;713;737;37;360;0;0;;;320;56;0;0;0;0;;;jun-07
MANDAQUI;585;3.293;2.390;2.363;176;462;0;0;;;820;87;0;0;0;0;;;jun-07
MARSILAC;58;64;0;0;0;0;0;0;;;3;1;0;0;0;0;;;jun-07
MOEMA;185;1.273;363;227;0;0;0;0;;;142;77;0;0;0;0;;;jun-07
MOOCA;380;1.464;315;297;75;139;0;0;;;218;138;0;0;0;0;;;jun-07
MORUMBI;259;780;810;578;57;164;0;0;;;329;149;0;0;0;0;;;jun-07
PARELHEIROS;1.021;4.450;3.450;1.541;165;894;0;0;;;1.052;778;0;0;0;0;;;jun-07
PARI;234;502;364;368;0;0;0;0;;;107;70;0;0;0;0;;;jun-07
PARQUE DO CARMO;560;2.420;1.213;1.260;46;395;0;0;;;725;350;0;0;0;0;;;jun-07
PEDREIRA;773;4.037;5.307;4.801;386;1.636;0;0;;;1.323;1.003;0;0;0;0;;;jun-07
PENHA;729;1.709;0;0;0;0;0;0;;;614;227;0;0;0;0;;;jun-07
PERDIZES;304;918;363;280;76;158;0;0;;;246;67;0;0;0;0;;;jun-07
PERUS;545;3.483;4.402;4.082;249;1.184;0;0;;;985;904;0;0;0;0;;;jun-07
PINHEIROS;302;700;368;386;0;0;0;0;;;286;76;0;0;0;0;;;jun-07
PIRITUBA;1.041;4.251;4.377;4.435;556;1.485;326;0;;;1.101;853;0;0;0;0;;;jun-07
PONTE RASA;525;2.333;2.780;3.021;36;740;0;0;;;545;280;0;0;0;0;;;jun-07
RAPOSO TAVARES;1.304;4.318;4.390;3.694;342;1.033;0;0;;;1.043;264;0;0;0;0;;;jun-07
REPUBLICA;6;834;0;0;0;0;0;0;;;1;44;0;0;0;0;;;jun-07
RIO PEQUENO;1.460;3.627;4.166;3.368;365;954;0;0;;;1.211;353;0;0;0;0;;;jun-07
SACOMA;2.156;7.163;5.777;5.093;844;2.313;0;0;;;2.431;814;0;0;0;0;;;jun-07
SANTA CECILIA;442;1.071;0;0;0;0;0;0;;;630;291;0;0;0;0;;;jun-07
SANTANA;474;2.181;1.593;1.837;0;0;0;0;;;417;121;0;0;0;0;;;jun-07
SANTO AMARO;153;511;1.029;1.499;0;307;1.176;784;;;328;154;0;0;0;0;;;jun-07
SAO DOMINGOS;491;2.169;3.121;2.949;206;608;0;0;;;544;219;0;0;0;0;;;jun-07
SAO LUCAS;436;3.013;3.673;3.713;164;867;0;0;;;424;298;0;0;0;0;;;jun-07
SAO MATEUS;1.456;5.321;4.405;4.162;577;1.799;0;0;;;1.286;343;0;0;0;0;;;jun-07
SAO MIGUEL;878;3.370;4.397;4.310;90;1.250;225;0;;;606;422;0;0;0;0;;;jun-07
SAO RAFAEL;1.942;7.140;5.475;4.221;564;1.683;0;0;;;1.683;753;0;0;0;0;;;jun-07
SAPOPEMBA;2.790;10.407;10.376;9.988;1.190;3.197;375;0;;;2.249;858;0;0;0;0;;;jun-07
SAUDE;204;973;277;363;0;240;0;0;;;239;115;0;0;0;0;;;jun-07
SE;52;124;572;442;135;290;0;0;;;125;84;0;0;0;0;;;jun-07
SOCORRO;333;1.513;1.530;1.536;140;591;0;0;;;160;19;0;0;0;0;;;jun-07
TATUAPE;343;2.105;1.287;1.320;119;481;0;0;;;155;67;0;0;0;0;;;jun-07
TREMEMBE;929;5.520;4.185;3.906;360;1.142;0;0;;;1.347;578;0;0;0;0;;;jun-07
TUCURUVI;310;1.148;1.463;1.482;45;331;0;0;;;319;85;0;0;0;0;;;jun-07
VILA ANDRADE;185;350;2.801;1.520;387;531;0;0;;;885;854;0;0;0;0;;;jun-07
VILA CURUCA;1.270;6.754;6.860;6.819;205;1.683;0;0;;;1.248;810;0;0;0;0;;;jun-07
VILA FORMOSA;264;1.916;491;547;0;123;0;0;;;393;246;0;0;0;0;;;jun-07
VILA GUILHERME;279;1.645;1.240;1.063;29;256;0;0;;;217;46;0;0;0;0;;;jun-07
VILA JACUI;1.164;5.944;4.631;4.785;187;1.423;0;0;;;776;460;0;0;0;0;;;jun-07
VILA LEOPOLDINA;205;888;812;692;49;167;0;0;;;152;25;0;0;0;0;;;jun-07
VILA MARIA;1.110;5.264;3.883;3.195;193;629;0;0;;;986;201;0;0;0;0;;;jun-07
VILA MARIANA;336;1.348;243;294;0;192;0;0;;;366;105;0;0;0;0;;;jun-07
VILA MATILDE;531;1.621;2.513;2.799;60;313;0;0;;;378;99;0;0;0;0;;;jun-07
VILA MEDEIROS;818;3.881;2.440;2.122;489;1.168;0;0;;;931;182;0;0;0;0;;;jun-07
VILA PRUDENTE;908;2.343;1.265;1.249;212;409;0;0;;;657;176;0;0;0;0;;;jun-07
VILA SONIA;756;2.367;2.226;2.094;229;662;0;0;;;834;616;0;0;0;0;;;jun-07
AGUA RASA;659;1.825;1.322;1.397;58;121;0;0;;;713;148;0;0;0;0;;;set-07
ALTO DE PINHEIROS;292;154;0;0;0;0;0;0;;;272;6;0;0;0;0;;;set-07
ANHANGUERA;302;2.108;2.961;2.768;171;796;0;0;;;1.023;327;0;0;0;0;;;set-07
ARICANDUVA;550;1.666;2.059;2.047;147;679;0;0;;;828;253;0;0;0;0;;;set-07
ARTUR ALVIM;1.199;4.144;2.848;2.776;97;394;0;0;;;1.165;87;0;0;0;0;;;set-07
BARRA FUNDA;234;338;0;0;0;0;0;0;;;301;85;0;0;0;0;;;set-07
BELA VISTA;574;1.235;528;520;0;0;0;0;;;1.256;240;0;0;0;0;;;set-07
BELEM;441;1.709;466;0;0;394;0;0;;;414;209;0;0;0;0;;;set-07
BOM RETIRO;499;1.532;0;0;0;0;0;0;;;1.024;651;0;0;0;0;;;set-07
BRAS;318;715;0;0;0;0;0;0;;;581;183;0;0;0;0;;;set-07
BRASILANDIA;2.837;9.263;9.599;7.426;775;3.011;0;0;;;4.943;1.454;0;0;0;0;;;set-07
BUTANTA;356;1.476;1.565;1.411;362;942;0;0;;;545;82;0;0;0;0;;;set-07
CACHOEIRINHA;947;4.588;3.047;2.983;316;1.041;0;0;;;1.930;285;0;0;0;0;;;set-07
CAMBUCI;131;772;0;0;219;312;0;0;;;370;226;0;0;0;0;;;set-07
CAMPO BELO;507;804;1.463;1.349;85;674;0;0;;;726;73;0;0;0;0;;;set-07
CAMPO GRANDE;426;2.262;3.353;3.199;385;1.039;0;0;;;585;313;0;0;0;0;;;set-07
CAMPO LIMPO;1.550;8.559;8.775;8.062;878;3.204;0;0;;;5.072;1.807;0;0;0;0;;;set-07
CANGAIBA;805;4.469;2.535;2.346;165;792;0;0;;;1.843;523;0;0;0;0;;;set-07
CAPAO REDONDO;1.531;7.516;10.908;8.593;1.563;4.766;0;0;;;5.020;2.767;0;0;0;0;;;set-07
CARRAO;648;1.882;982;996;0;0;0;0;;;973;169;0;0;0;0;;;set-07
CASA VERDE;396;1.920;1.121;1.155;121;511;0;0;;;1.215;143;0;0;0;0;;;set-07
CIDADE ADEMAR;1.341;5.977;4.649;3.864;579;1.662;0;0;;;5.149;1.939;0;0;0;0;;;set-07
CIDADE DUTRA;2.941;7.335;6.642;7.038;314;2.240;0;0;;;3.972;1.043;0;0;0;0;;;set-07
CIDADE LIDER;1.030;5.078;2.916;2.975;294;1.275;0;0;;;1.995;299;0;0;0;0;;;set-07
CIDADE TIRADENTES;2.480;11.281;12.766;12.470;574;3.174;482;0;;;4.258;1.344;0;0;0;0;;;set-07
CONSOLACAO;322;1.372;0;0;0;0;0;0;;;543;106;0;0;0;0;;;set-07
CURSINO;265;1.615;937;947;43;191;0;0;;;1.146;473;0;0;0;0;;;set-07
ERMELINO MATARAZZO;798;3.560;1.647;1.812;236;1.411;0;0;;;1.532;784;0;0;0;0;;;set-07
FREGUESIA DO O;774;5.068;3.271;2.577;214;1.156;0;0;;;1.347;524;0;0;0;0;;;set-07
GRAJAU;3.047;11.569;8.309;7.012;841;3.506;0;0;;;7.284;3.880;0;0;0;0;;;set-07
GUAIANASES;1.175;4.590;1.828;2.407;458;1.551;0;0;;;1.401;690;0;0;0;0;;;set-07
IGUATEMI;1.287;5.404;7.009;6.194;338;1.455;0;0;;;2.492;1.525;0;0;0;0;;;set-07
IPIRANGA;802;2.855;1.000;873;193;374;0;0;;;1.591;302;0;0;0;0;;;set-07
ITAIM BIBI;148;844;791;721;52;325;0;0;;;374;54;0;0;0;0;;;set-07
ITAIM PAULISTA;1.620;7.954;5.744;6.167;427;2.136;0;0;;;4.116;3.733;0;0;0;0;;;set-07
ITAQUERA;1.373;6.553;3.196;3.597;227;1.576;0;0;;;2.662;552;0;0;0;0;;;set-07
JABAQUARA;1.448;5.528;3.235;2.790;360;785;0;0;;;3.089;980;0;0;0;0;;;set-07
JACANA;604;3.509;2.501;2.144;62;554;0;0;;;1.449;349;0;0;0;0;;;set-07
JAGUARA;377;1.296;817;878;149;387;0;0;;;751;93;0;0;0;0;;;set-07
JAGUARE;509;1.060;416;397;193;262;0;0;;;673;59;0;0;0;0;;;set-07
